"Institutions","Links","Quantity of digitized items","IIIF","Copyright","Free Cultural Works license","Country","City","lat","lng","Additional data","Post",""
"Biblioteca Medicea Laurenziana","https://www.internetculturale.it/it/16/search?q=Biblioteca+Medicea+Laurenziana&instance=magindice&__meta_typeTipo=manoscritto Digitized manuscripts","Unknown","no","Unknown","no","Italy","Florence","43.774326","11.254041","Explore","No post available","0"
"Mediatheque Communautaire","http://mediatheques.agglo-moulins.fr/agglo-moulins.fr/index/index/id_profil/161#/page/1 Digitized manuscripts","Unknown","no","Unknown","no","France","Moulins","46.568059","3.334417","Explore","No post available","0"
"Universitätsbibliothek Kassel","https://orka.bibliothek.uni-kassel.de/viewer/search/DC%3Ahandschriften%3B%3B/-/1/-/DOCSTRCT%3Amanuscript/ Digitized manuscripts","Unknown","no","Unknown","no","Germany","Kassel","51.321851","9.505549","Explore","No post available","0"
"International Museum and Library of Music of Bologna","http://www.internetculturale.it/opencms/opencms/it/collezioni/collezione_0029.html Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Italy","Bologna","44.492884","11.35032","Explore","No post available","0"
"National Library of Bulgaria","http://www.nationallibrary.bg/www/%d0%b4%d0%b8%d0%b3%d0%b8%d1%82%d0%b0%d0%bb%d0%bd%d0%b0-%d0%b1%d0%b8%d0%b1%d0%bb%d0%b8%d0%be%d1%82%d0%b5%d0%ba%d0%b0/ Digitized manuscripts","Unknown","no","Unknown","no","Bulgaria","Sofia","42.694723","23.335923","Explore","No post available","0"
"Utrechts Archief","https://hetutrechtsarchief.nl/beeldmateriaal/?mode=gallery&view=horizontal&sort=order_i_datering_vroegst%20asc&fq%5B%5D=search_i_periode:%5B14000000%20TO%2015470000%5D&fq%5B%5D=search_s_acs_keyword_keyword:%22Handschrift%22&reverse=0&page=1 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Netherlands","Utrecht","52.089057","5.122844","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Nevers&newSearch=1 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Nevers","46.990582","3.162845","Explore","No post available","0"
"Biblioteca Civica Barrili","https://bibliotecadigitale.regione.liguria.it/opacbdl/opac/bdl/list.jsp Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Italy","Savona","44.312395","8.478928","Explore","No post available","0"
"Fordham University, Walsh Library, Archives and Special Collections","https://www.digital-scriptorium.org/xtf3/search?rmode=digscript&smode=bid&bid=3&docsPerPage=30 Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","no","Unknown","no","United States of America","New York","40.861331","-73.889247","Explore","No post available","1"
"Bibliotheque numerique","https://archives.dordogne.fr/archives-numerisees/bibliotheque-numerique-du-perigord/manuscrits Digitized manuscripts","Unknown","no","Unknown","no","France","Perigord","43.607852","1.443869","Explore","No post available","1"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?NOM_VILLE=AVIGNON&TOUT=true Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","France","Avignon","43.946098","4.80696","Explore","No post available","0"
"Eisenbibliothek","https://www.e-codices.unifr.ch/en/list/ebs Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Schlatt","47.68382","8.677247","Explore","No post available","0"
"Biblioteca Malatestiana","http://catalogoaperto.malatestiana.it/ricerca/ Digitized manuscripts","Unknown","no","Unknown","no","Italy","Cesena","44.13877","12.24408","Explore","No post available","0"
"Biblioteca Nazionale Centrale di Roma","http://digitale.bnc.roma.sbn.it/tecadigitale/manoscrittiantichi Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","All Rights Reserved","no","Italy","Rome","41.9056","12.5083","Explore","No post available","0"
"Wellcome Library","https://wellcomecollection.org/search/works?workType=h&production.dates.to=1500&availabilities=online Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","England","London","51.525924","-0.134148","Explore","No post available","0"
"Australian National University","https://openresearch-repository.anu.edu.au/handle/1885/45199 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Australia","Canberra","-35.2777","149.118527","Explore","No post available","0"
"The Arnamagnaean Manuscript Collection","http://haandskrift.ku.dk/en/ Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","Denmark","Copenhagen","55.687409","12.56831","Explore","No post available","0"
"Kantonsbibliothek Appenzell Ausserrhoden","https://www.e-codices.unifr.ch/en/list/cea Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Trogen","47.443245","8.539182","Explore","No post available","0"
"Stadtbibliothek","http://www.dilibri.de/nav/classification/991549 Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","Germany","Mainz","50.003263","8.259267","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?NOM_VILLE=TOULOUSE&TOUT=true Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","France","Toulouse","43.602639","1.425307","Explore","No post available","0"
"Bibliothek des Klosters Maria-Medingen","http://www.manuscripta-mediaevalia.de/?xdb_objtype!%22digitalisierteHandschriften%22%20biblio%3AMödingen%20sp-datum%3C1550 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Germany","Modingen","48.632276","10.444606","Explore","No post available","0"
"Stadsarchief en Atheneumbibliotheek","https://athenaeumcollecties.nl/middeleeuwse-handschriften-tot-1601/ Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","no","Unknown","no","Netherlands","Deventer","52.25327","6.152643","Explore","No post available","0"
"Bibliotheek Rijksuniversiteit Groningen","https://facsimile.ub.rug.nl/digital/collection/manuscripts/search/order/date Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","Netherlands","Groningen","53.218765","6.563144","Explore","No post available","0"
"Biblioteca Teresiana","http://digilib.bibliotecateresiana.it/ Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","no","Unknown","no","Italy","Mantua","45.158031","10.79731","Explore","No post available","1"
"Württembergische Landesbibliothek","https://digital.wlb-stuttgart.de/start/ Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","Germany","Stuttgart","48.776926","9.18504","Explore","No post available","0"
"University Library (Biblioteka Uniwersytecka)","http://www.wbc.poznan.pl/dlibra Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","Poland","Poznan","52.407058","16.925662","Explore","No post available","0"
"Universitätsbibliothek Heidelberg","http://www.ub.uni-heidelberg.de/helios/digi/handschriften.html Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","Germany","Heidelberg","49.408916","8.705869","Explore","No post available","0"
"Lambeth Palace Library","http://images.lambethpalacelibrary.org.uk/luna/servlet/LPLIBLPL~17~17 Digitized manuscripts","Unknown","no","Unknown","no","England","London","51.49567","-0.11988","Explore","No post available","0"
"Lichfield Cathedral Library","https://lichfield.ou.edu/ Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","CC BY-NC-SA 4.0","no","England","Lichfield","52.685395","-1.830164","Explore","No post available","0"
"Royal Canonry of Premonstratensians","https://www.manuscriptorium.com/en/node/867 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Czech Republic","Strahov","50.086381","14.389146","Explore","No post available","0"
"State Library of Victoria","https://www.slv.vic.gov.au/search-discover/explore-collections-theme/history-book/medieval-manuscripts Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Public Domain","yes","Australia","Melbourne","-37.80988","144.964844","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Millau&newSearch=1 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Millau","44.099532","3.077801","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Carpentras&newSearch=1 Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","France","Carpentras","44.05554","5.048722","Explore","No post available","0"
"Lund University Library","https://www.alvin-portal.org/alvin/resultList.jsf?dswid=8400&searchType=TEXT&af=%5B%5D&aq=%5B%5B%5D%5D&aqe=%5B%5D&sortString=person_sort_asc&noOfRows=50 Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","no","Unknown","no","Sweden","Lund","55.708951","13.197349","Explore","No post available","0"
"San Francisco State University, J. Paul Leonard Library, De Bellis Collection","https://www.digital-scriptorium.org/xtf3/search?rmode=digscript&smode=bid&bid=13&docsPerPage=30 Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","United States of America","San Francisco","37.721894","-122.479403","Explore","No post available","1"
"National University of Ireland","https://www.isos.dias.ie/master.html?https://www.isos.dias.ie/libraries/NUIM/english/index.html?ref= Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","Ireland","Maynooth","53.38129","-6.59185","Explore","No post available","0"
"Erzbischoflichen Diozesan- und Dombibliothek Köln (DDB)","http://www.ceec.uni-koeln.de/ Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","Germany","Cologne","50.944368","6.95202","Explore","No post available","0"
"Archives Departementales du Jura","http://archives39.fr/ Digitized manuscripts","Unknown","no","Unknown","no","France","Jura","46.673785","5.537863","Explore","No post available","1"
"Biblioteca capitolare","http://www.nuovabibliotecamanoscritta.it/Generale/BibliotecaDigitale/manoscritti.html Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Italy","Verona","45.447067","10.996376","Explore","No post available","0"
"ARMARIUM dominikanska biblioteka cyfrowa","http://bc.dominikanie.pl/dlibra/collectiondescription?dirids=31 Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","Poland","Krakow","50.267893","18.984522","Explore","No post available","0"
"Stiftbibliothek","https://diglib.hab.de/?db=mss&list=collection&id=ed&settlement=Bad%20Gandersheim Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","Germany","Bad Gandersheim","51.87167","10.02537","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Rodez,+Biblioth%C3%A8que+municipale&newSearch=1 Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","France","Rodez","44.349389","2.575986","Explore","No post available","0"
"Bibliotheque d'Oloron-Sainte-Marie","http://www.manuscrits-medievaux.fr/resultats.aspx?fd=96 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Oloron-Sainte-Marie","43.194046","-0.608059","Explore","No post available","0"
